m²,M2,M3,M4,M5,precio_millares
75,5625,421875,31640625,2373046875,68
80,6400,512000,40960000,3276800000,80
105,11025,1157625,121550625,12762815625,90
115,13225,1520875,174900625,20113571875,120
130,16900,2197000,285610000,37129300000,140
123,15129,1860867,228886641,28153056843,114
150,22500,3375000,506250000,75937500000,170
170,28900,4913000,835210000,141985700000,210
200,40000,8000000,1600000000,320000000000,220
215,46225,9938375,2136750625,459401384375,215
240,57600,13824000,3317760000,796262400000,260
270,72900,19683000,5314410000,1434890700000,284
287,82369,23639903,6784652161,1947195170207,300
307,94249,28934443,8882874001,2727042318307,295
320,102400,32768000,10485760000,3355443200000,305
345,119025,41063625,14166950625,4887597965625,290
350,122500,42875000,15006250000,5252187500000,310
360,129600,46656000,16796160000,6046617600000,330
370,136900,50653000,18741610000,6934395700000,320
380,144400,54872000,20851360000,7923516800000,345
390,152100,59319000,23134410000,9022419900000,340
400,160000,64000000,25600000000,10240000000000,310
400,160000,64000000,25600000000,10240000000000,330
420,176400,74088000,31116960000,13069123200000,350
430,184900,79507000,34188010000,14700844300000,355
440,193600,85184000,37480960000,16491622400000,320
440,193600,85184000,37480960000,16491622400000,345
460,211600,97336000,44774560000,20596297600000,335
460,211600,97336000,44774560000,20596297600000,356
480,230400,110592000,53084160000,25480396800000,350
