Sensor,S2,S3,S4,Aguja
868,753424,653972032,567647723776,90
830,688900,571787000,474583210000,85
787,619369,487443403,383617958161,80
755,570025,430368875,324928500625,75
725,525625,381078125,276281640625,70
675,455625,307546875,207594140625,65
640,409600,262144000,167772160000,60
600,360000,216000000,129600000000,55
535,286225,153130375,81924750625,50
485,235225,114084125,55330800625,45
415,172225,71473375,29661450625,40
360,129600,46656000,16796160000,35
285,81225,23149125,6597500625,30
240,57600,13824000,3317760000,25
200,40000,8000000,1600000000,20
160,25600,4096000,655360000,15
110,12100,1331000,146410000,10
