Sensor,S2,S3,S4,S5,Aguja
868,753424,653972032,567647723776,492718224237568,90
830,688900,571787000,474583210000,393904064300000,85
787,619369,487443403,383617958161,301907333072707,80
755,570025,430368875,324928500625,245321017971875,75
725,525625,381078125,276281640625,200304189453125,70
675,455625,307546875,207594140625,140126044921875,65
640,409600,262144000,167772160000,107374182400000,60
600,360000,216000000,129600000000,77760000000000,55
535,286225,153130375,81924750625,43829741584375,50
485,235225,114084125,55330800625,26835438303125,45
415,172225,71473375,29661450625,12309502009375,40
360,129600,46656000,16796160000,6046617600000,35
285,81225,23149125,6597500625,1880287678125,30
240,57600,13824000,3317760000,796262400000,25
200,40000,8000000,1600000000,320000000000,20
160,25600,4096000,655360000,104857600000,15
110,12100,1331000,146410000,16105100000,10
